0.4 0 10 0 -0.263307081870846 0.263307 1.0
0.4 0 12 0 -0.2695981695682893 0.269598 1.0
0.4 0 14 0 -0.27351947087835965 0.273519 1.0
0.4 0 16 0 -0.2763124655061205 0.276312 1.0
0.4 0 18 0 -0.27821573279705225 0.278216 1.0
0.4 0 20 0 -0.2796526237654136 0.279653 1.0
0.4 0 22 0 -0.28074172904633127 0.280742 1.0
0.4 0 24 0 -0.22548068066215948 0.225481 1.0
0.4 0 10 0 -0.23325000033382384 0.23325 1.05
    -0.23851260764767343 0.238513 
    -0.24176270634081076 0.241763 
    -0.24408577877028892 0.244086 
    -0.24568163231770845 0.245682 
    -0.24690410778559235 0.246904 
    -0.24783693425878486 0.247837 
    -0.20084775471769448 0.200848 
    -0.20745834110704564 0.207458 
    -0.21187662877703364 0.211877 
    -0.21460820883314025 0.214608 
    -0.21656021233122638 0.21656 
    -0.21791523736881285 0.217915 
    -0.21896154236168028 0.218962 
    -0.2197706440848851 0.219771 
    -0.17959458053146296 0.179595 
    -0.1852069706609608 0.185207 
    -0.18895134527784366 0.188951 
    -0.19126094180887254 0.191261 
    -0.19291811078833038 0.192918 
    -0.19408238481935464 0.194082 
    -0.19498854412165398 0.194989 
    -0.19569795668751047 0.195698 
    -0.16113558468366845 0.161136 
    -0.16593432133129735 0.165934 
    -0.16912011751680872 0.16912 
    -0.17109018209728966 0.17109 
    -0.17251127256308207 0.172511 
    -0.17352323125229815 0.173523 
    -0.17430343755147354 0.174303 
    -0.1749309091099278 0.174931 
    -0.1450460877626142 0.145046 
    -0.14916415047343237 0.149164 
    -0.15188093463553187 0.151881 
    -0.1535768500952347 0.153577 
    -0.15480746515407606 0.154807 
    -0.15569465081784079 0.155695 
    -0.15639512746661685 0.156395 
    -0.156954864913889 0.156955 
    -0.13095106956839572 0.130951 
    -0.13450338300267908 0.134503 
    -0.13685469730006009 0.136855 
    -0.1383270248560585 0.138327 
    -0.13940199789764837 0.139402 
    -0.14018705610086632 0.140187 
    -0.14081067250015666 0.140811 
    -0.14131304200418995 0.141313 
    -0.1185772954132748 0.118577 
    -0.12165740616025111 0.121657 
    -0.12369701053769265 0.123697 
    -0.12498573586154095 0.124986 
    -0.12593299965682545 0.125933 
    -0.12663302915716088 0.126633 
    -0.1271920355571214 0.127192 
    -0.12764540100200697 0.127645 
    -0.10766809623039145 0.107668 
    -0.11035187566612549 0.110352 
    -0.11213278279085769 0.112133 
    -0.1132695989992678 0.11327 
    -0.11411057785015347 0.114111 
    -0.11473896501567964 0.114739 
    -0.11524301047172841 0.115243 
    -0.11565406716722458 0.115654 
    -0.09801828441586621 0.0980183 
    -0.10037208169947535 0.100372 
    -0.10193696185952483 0.101937 
    -0.10294702235008284 0.102947 
    -0.1036988242967914 0.103699 
    -0.10426619179643411 0.104266 
    -0.10472299820930742 0.104723 
    -0.10509720419092065 0.105097 
