0.015 0.06150776142233345 0.4920620913786676 0.485 0.18849275786292952 0.3263136585176467
0.025 0.08268043950665596 0.6614435160532477 0.475 0.16731990645096853 0.4941458626196678
0.035 0.09424764332380428 0.7539811465904342 0.465 0.15575320004392024 0.6051088728657116
0.045 0.10162372117525842 0.8129897694020674 0.455 0.14837313519621081 0.6849199556299037
0.055 0.10674701686786386 0.8539761349429109 0.445 0.14325402563236517 0.7451589328582656
0.065 0.11050025933577293 0.8840020746861834 0.435 0.13949808604111075 0.7921274224737963
0.075 0.11334892019887116 0.9067913615909693 0.425 0.13665179980123934 0.8294725745561908
0.085 0.1155686811647308 0.9245494493178464 0.415 0.13443163322393745 0.8596836800473548
0.095 0.11733213561203601 0.9386570848962881 0.405 0.13266419299225227 0.8844295733882641
0.105 0.11875176893810421 0.9500141515048337 0.395 0.1312444402502143 0.9048137102928465
0.115 0.1199060454304767 0.9592483634438136 0.385 0.1300896705623529 0.9217184186272874
0.125 0.12084905386278787 0.9667924309023029 0.375 0.12914967116812695 0.935728699653185
0.135 0.12162651005389066 0.9730120804311253 0.365 0.12837233852231728 0.9474510743819327
0.145 0.12226769574792838 0.978141565983427 0.355 0.12773197893293525 0.9572207114408221
0.155 0.12279728809101687 0.9823783047281349 0.345 0.12720138140092854 0.9653770009302782
0.165 0.12323533447099781 0.9858826757679825 0.335 0.12676437027084247 0.9721606647648342
0.175 0.1235973101592255 0.988778481273804 0.325 0.12640233762949524 0.9778087373787998
0.185 0.12389682761857544 0.9911746209486035 0.315 0.12610331302830965 0.9825025579681728
0.195 0.12414584101017093 0.9931667280813674 0.305 0.12585515639227046 0.9864183921334786
0.205 0.1243533070654145 0.994826456523316 0.295 0.1256479521540118 0.9896962499873424
0.215 0.12452844522239094 0.9962275617791275 0.285 0.1254729206457752 0.9924726752312507
0.225 0.12467921862419326 0.9974337489935461 0.275 0.12532211849740454 0.9948700207040898
0.235 0.12481299184968711 0.9985039347974969 0.265 0.12518089644831004 0.99706101642454
0.245 0.1249367253048872 0.9994938024390976 0.255 0.12505714465341677 0.9990370854151251
0.255 0.12505714465341677 1.0004571572273342 0.245 0.1249367253048872 1.0009638426830518
0.265 0.12518089644831004 1.0014471715864803 0.235 0.12481299184968711 1.0029476466605816
0.275 0.12532211849740454 1.0025769479792364 0.225 0.12467921862419326 1.0051564316836883
0.285 0.1254729206457752 1.0037833651662016 0.215 0.12452844522239094 1.007584415124573
0.295 0.1256479521540118 1.0051836172320945 0.205 0.1243533070654145 1.0104110225867677
0.305 0.12585515639227046 1.0068412511381637 0.195 0.12414584101017093 1.0137686076971317
0.315 0.12610331302830965 1.0088265042264772 0.185 0.12389682761857544 1.0178090549382508
0.325 0.12640233762949524 1.011218701035962 0.175 0.1235973101592255 1.0226948909054423
0.335 0.12676437027084247 1.0141149621667398 0.165 0.12323533447099781 1.0286365579725447
0.345 0.12720138140092854 1.0176110512074283 0.155 0.12279728809101687 1.0358647440703037
0.355 0.12773197893293525 1.021855831463482 0.145 0.12226769574792838 1.044691143900121
0.365 0.12837233852231728 1.0269787081785382 0.135 0.12162651005389066 1.0554634714540247
0.375 0.12914967116812695 1.0331973693450156 0.125 0.12084905386278787 1.068685827815943
0.385 0.1300896705623529 1.0407173644988232 0.115 0.1199060454304767 1.0849300391428622
0.395 0.1312444402502143 1.0499555220017145 0.105 0.11875176893810421 1.1051998755371932
0.405 0.13266419299225227 1.0613135439380181 0.095 0.11733213561203601 1.130672277464653
0.415 0.13443163322393745 1.0754530657914996 0.085 0.1155686811647308 1.1632185456224038
0.425 0.13665179980123934 1.0932143984099147 0.075 0.11334892019887116 1.2055853691546703
0.435 0.13949808604111075 1.115984688328886 0.065 0.11050025933577293 1.2624231552002356
0.445 0.14325402563236517 1.1460322050589213 0.055 0.10674701686786386 1.3419955876583538
0.455 0.14837313519621081 1.1869850815696865 0.045 0.10162372117525842 1.4600246229945586
0.465 0.15575320004392024 1.246025600351362 0.035 0.09424764332380428 1.6525951689720542
0.475 0.16731990645096853 1.3385592516077482 0.025 0.08268043950665596 2.023693964973407
0.485 0.18849275786292952 1.5079420629034361 0.015 0.06150776142233345 3.0645361415232366
